Akyol 1999, 10, 52, 21, 74
Al Malt 1995, 12, 49, 12, 54
Alcalay 1996, 3, 74, 2, 80
Alcoseba·Lim 1992, 4, 65, 3, 65
Allott 1993, 4, 99, 5, 96
Asher 2009, 10, 59, 12, 30
Augensen 1987, 14, 214, 20, 195
Beigi 2003, 10, 78, 22, 78
Bell 1993, 2, 18, 4, 22
Benito 2010, 13, 102, 18, 98
Berghella 1994, 0, 73, 3, 69
Bergsjo 1989, 27, 94, 39, 94
Bernstein 1991, 56, 203, 65, 194
Boers 2010, 45, 321, 45, 329
Bollapragada 2006, 65, 177, 56, 173
Boulvain 1998, 12, 99, 12, 99
Breart 1982, 12, 173, 3, 32
Brennand 1997, 15, 73, 4, 23
Buchanan 1984, 15, 38, 14, 35
Bullarbo 2007, 14, 100, 17, 100
Buttino 1990, 5, 23, 7, 20
Cammu 1996, 5, 140, 8, 138
Campbell 1984, 6, 95, 10, 104
Chakravarti 2000, 29, 114, 20, 117
Chang 1997, 14, 101, 13, 92
Chanrachkul 2003, 27, 124, 33, 125
Chaterjee 1990, 7, 15, 5, 18
Cheung 2006, 7, 66, 3, 32
Chua 1995, 11, 79, 12, 76
Chung 1992, 7, 30, 7, 29
Cole 1975, 5, 111, 9, 117
Cox 1995, 14, 61, 8, 68
Crane 1997, 10, 76, 10, 74
Curet 1989, 14, 28, 13, 26
Dare 2002, 6, 69, 13, 68
Darroca 1996, 8, 61, 18, 57
Doany 1997, 10, 115, 1, 28
Dommisse 1980, 5, 28, 3, 28
Dyson 1987, 22, 152, 41, 150
Egarter 1989, 2, 188, 3, 168
Ek 2005, 1, 28, 4, 26
El-Torkey 1992, 5, 33, 4, 32
Elliott 1984a, 9, 100, 10, 100
Elliott 1998, 13, 50, 8, 30
Fenton 1985, 2, 15, 5, 15
Fletcher 1993, 2, 24, 3, 21
Frydman 1992, 21, 60, 23, 60
Giacalone 1998, 7, 41, 6, 42
Gilad 2012, 6, 37, 4, 43
Gilson 1993, 16, 41, 6, 38
Gilson 1996, 41, 112, 49, 128
Gittens 1996, 3, 17, 5, 15
Golbus 1977, 1, 25, 2, 25
Goldenberg 1996, 10, 152, 9, 141
Gonen 1997, 26, 140, 30, 144
Gower 1982, 11, 26, 6, 22
Grant 1992, 38, 219, 25, 225
Graves 1985, 16, 60, 3, 20
Gupta 1998, 6, 50, 8, 50
Habib 2008, 15, 51, 17, 51
Hamdan 2009, 43, 108, 46, 105
Hannah 1992, 360, 1701, 418, 1706
Hannah 1996, 248, 2517, 261, 2524
Harper 2006, 5, 30, 10, 26
